Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
CARD_PAYMENT,Current,2025-02-28 16:24:47,2025-03-02 03:37:00,Elmaz Tts Ood,-7.40,0.00,BGN,COMPLETED,5.80
TRANSFER,Current,2025-03-03 14:29:58,2025-03-03 14:29:58,To BGN,9.99,0.00,BGN,COMPLETED,15.79
TRANSFER,Current,2025-03-03 14:31:33,2025-03-03 14:31:33,To BGN Bvf,-5.00,0.00,BGN,COMPLETED,10.79
TRANSFER,Current,2025-03-03 14:31:00,2025-03-03 15:55:28,To Фондация Пълноценен Живот,-10.00,0.00,BGN,COMPLETED,0.79
TOPUP,Current,2025-03-04 11:19:15,2025-03-04 11:19:16,Apple Pay Top-Up by *0210,213.00,0.00,BGN,COMPLETED,213.79
TRANSFER,Current,2025-03-04 11:19:44,2025-03-04 11:19:45,Transfer to Revolut user,-100.00,0.00,BGN,COMPLETED,113.79
TRANSFER,Current,2025-03-04 11:20:27,2025-03-04 11:20:27,To BGN Обслужване Jogger,-40.00,0.00,BGN,COMPLETED,73.79
TRANSFER,Current,2025-03-04 11:20:40,2025-03-04 11:20:40,To BGN Почивка,-15.00,0.00,BGN,COMPLETED,58.79
TRANSFER,Current,2025-03-04 11:22:07,2025-03-04 11:22:07,To BGN Bvf,-20.00,0.00,BGN,COMPLETED,38.79
TRANSFER,Current,2025-03-04 11:24:10,2025-03-04 11:24:11,Transfer to Revolut user,-20.00,0.00,BGN,COMPLETED,18.79
TRANSFER,Current,2025-03-04 11:25:24,2025-03-04 11:25:24,To BGN Спестявания,-18.00,0.00,BGN,COMPLETED,0.79
TRANSFER,Current,2025-03-04 11:29:04,2025-03-04 11:29:04,To BGN,20.00,0.00,BGN,COMPLETED,20.79
TRANSFER,Current,2025-03-04 11:33:54,2025-03-04 11:33:54,To BGN,20.00,0.00,BGN,COMPLETED,40.79
TRANSFER,Current,2025-03-06 08:50:36,2025-03-06 08:50:36,Transfer from Revolut user,55.00,0.00,BGN,COMPLETED,95.79
TRANSFER,Current,2025-03-06 08:53:19,2025-03-06 08:53:19,To BGN Uganda,-0.19,0.00,BGN,COMPLETED,95.60
TRANSFER,Current,2025-03-06 09:07:16,2025-03-06 09:07:16,Transfer to Revolut user,-12.00,0.00,BGN,COMPLETED,83.60
TRANSFER,Current,2025-03-06 09:07:36,2025-03-06 09:07:36,To BGN Bvf,-40.00,0.00,BGN,COMPLETED,43.60
CARD_PAYMENT,Current,2025-03-06 08:53:18,2025-03-07 05:10:11,EKO,-41.81,0.00,BGN,COMPLETED,1.79
TRANSFER,Current,2025-03-07 23:35:49,2025-03-07 23:35:49,Transfer from Revolut user,20.00,0.00,BGN,COMPLETED,21.79
TRANSFER,Current,2025-03-07 23:36:07,2025-03-07 23:36:07,To BGN Uganda,-0.31,0.00,BGN,COMPLETED,21.48
TRANSFER,Current,2025-03-09 18:55:14,2025-03-09 18:55:14,To BGN,30.00,0.00,BGN,COMPLETED,51.48
TRANSFER,Current,2025-03-09 18:55:40,2025-03-09 18:55:40,To BGN Uganda,-0.58,0.00,BGN,COMPLETED,50.90
TRANSFER,Current,2025-03-09 18:58:06,2025-03-09 18:58:06,Transfer from Revolut user,24.42,0.00,BGN,COMPLETED,75.32
TRANSFER,Current,2025-03-09 18:58:34,2025-03-09 18:58:34,To BGN Bvf,-41.00,0.00,BGN,COMPLETED,34.32
TRANSFER,Current,2025-03-10 07:49:31,2025-03-10 07:49:31,To BGN,10.00,0.00,BGN,COMPLETED,44.32
TRANSFER,Current,2025-03-10 07:49:44,2025-03-10 07:49:45,Transfer to Revolut user,-10.00,0.00,BGN,COMPLETED,34.32
TRANSFER,Current,2025-03-10 12:38:03,2025-03-10 12:38:04,Transfer from Revolut user,10.00,0.00,BGN,COMPLETED,44.32
TRANSFER,Current,2025-03-10 12:38:12,2025-03-10 12:38:12,To BGN Uganda,-0.21,0.00,BGN,COMPLETED,44.11
TRANSFER,Current,2025-03-10 12:38:47,2025-03-10 12:38:47,Transfer from Revolut user,9.00,0.00,BGN,COMPLETED,53.11
TRANSFER,Current,2025-03-10 12:38:57,2025-03-10 12:38:57,Transfer to Revolut user,-10.00,0.00,BGN,COMPLETED,43.11
TRANSFER,Current,2025-03-10 15:06:57,2025-03-10 15:06:58,Transfer from Revolut user,10.00,0.00,BGN,COMPLETED,53.11
TRANSFER,Current,2025-03-10 15:12:00,2025-03-10 15:12:00,To BGN Uganda,-0.94,0.00,BGN,COMPLETED,52.17
CARD_PAYMENT,Current,2025-03-07 23:36:07,2025-03-10 17:54:30,Art Pharma 1 Eood,-9.69,0.00,BGN,COMPLETED,42.48
CARD_PAYMENT,Current,2025-03-09 18:55:40,2025-03-11 03:47:06,EKO,-24.42,0.00,BGN,COMPLETED,18.06
CARD_PAYMENT,Current,2025-03-10 15:11:57,2025-03-11 10:32:33,T Market,-5.06,0.00,BGN,COMPLETED,13.00
TRANSFER,Current,2025-03-11 16:11:52,2025-03-11 16:11:52,To BGN Uganda,-1.00,0.00,BGN,COMPLETED,12.00
CARD_PAYMENT,Current,2025-03-10 12:38:11,2025-03-11 17:25:46,dm drogerie,-8.79,0.00,BGN,COMPLETED,3.21
TOPUP,Current,2025-03-12 13:19:56,2025-03-12 13:19:57,Apple Pay Top-Up by *0210,370.00,0.00,BGN,COMPLETED,373.21
TRANSFER,Current,2025-03-12 13:33:27,2025-03-12 13:33:28,Revolut Ltd,-370.00,0.00,BGN,COMPLETED,3.21
CARD_PAYMENT,Current,2025-03-11 16:11:51,2025-03-12 16:19:31,Elmaz Tts Ood,-2.00,0.00,BGN,COMPLETED,1.21
TRANSFER,Current,2025-03-13 09:01:05,2025-03-13 09:01:05,Transfer from Revolut user,188.91,0.00,BGN,COMPLETED,190.12
TRANSFER,Current,2025-03-13 09:01:20,2025-03-13 09:01:20,To BGN,10.00,0.00,BGN,COMPLETED,200.12
TRANSFER,Current,2025-03-13 09:06:08,2025-03-13 09:06:08,To BGN Uganda,-0.97,0.00,BGN,COMPLETED,199.15
TRANSFER,Current,2025-03-13 09:22:12,2025-03-13 09:22:12,Transfer from Revolut user,390.00,0.00,BGN,COMPLETED,589.15
